"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29131","county","Miller","johnson","johnson","libertarian","libertarian","votes",283
201611,"general","pr","29133","county","Mississippi","johnson","johnson","libertarian","libertarian","votes",79
201611,"general","pr","29135","county","Moniteau","johnson","johnson","libertarian","libertarian","votes",177
201611,"general","pr","29137","county","Monroe","johnson","johnson","libertarian","libertarian","votes",114
201611,"general","pr","29139","county","Montgomery","johnson","johnson","libertarian","libertarian","votes",134
201611,"general","pr","29141","county","Morgan","johnson","johnson","libertarian","libertarian","votes",202
201611,"general","pr","29143","county","New Madrid","johnson","johnson","libertarian","libertarian","votes",106
201611,"general","pr","29145","county","Newton","johnson","johnson","libertarian","libertarian","votes",641
201611,"general","pr","29147","county","Nodaway","johnson","johnson","libertarian","libertarian","votes",401
201611,"general","pr","29149","county","Oregon","johnson","johnson","libertarian","libertarian","votes",88
201611,"general","pr","29151","county","Osage","johnson","johnson","libertarian","libertarian","votes",182
201611,"general","pr","29153","county","Ozark","johnson","johnson","libertarian","libertarian","votes",70
201611,"general","pr","29155","county","Pemiscot","johnson","johnson","libertarian","libertarian","votes",79
201611,"general","pr","29157","county","Perry","johnson","johnson","libertarian","libertarian","votes",231
201611,"general","pr","29159","county","Pettis","johnson","johnson","libertarian","libertarian","votes",735
201611,"general","pr","29161","county","Phelps","johnson","johnson","libertarian","libertarian","votes",750
201611,"general","pr","29163","county","Pike","johnson","johnson","libertarian","libertarian","votes",208
201611,"general","pr","29165","county","Platte","johnson","johnson","libertarian","libertarian","votes",2271
201611,"general","pr","29167","county","Polk","johnson","johnson","libertarian","libertarian","votes",479
201611,"general","pr","29169","county","Pulaski","johnson","johnson","libertarian","libertarian","votes",485
201611,"general","pr","29171","county","Putnam","johnson","johnson","libertarian","libertarian","votes",36
201611,"general","pr","29173","county","Ralls","johnson","johnson","libertarian","libertarian","votes",120
201611,"general","pr","29175","county","Randolph","johnson","johnson","libertarian","libertarian","votes",392
201611,"general","pr","29177","county","Ray","johnson","johnson","libertarian","libertarian","votes",509
201611,"general","pr","29179","county","Reynolds","johnson","johnson","libertarian","libertarian","votes",62
201611,"general","pr","29181","county","Ripley","johnson","johnson","libertarian","libertarian","votes",115
201611,"general","pr","29195","county","Saline","johnson","johnson","libertarian","libertarian","votes",383
201611,"general","pr","29197","county","Schuyler","johnson","johnson","libertarian","libertarian","votes",64
201611,"general","pr","29199","county","Scotland","johnson","johnson","libertarian","libertarian","votes",50
201611,"general","pr","29201","county","Scott","johnson","johnson","libertarian","libertarian","votes",374
201611,"general","pr","29203","county","Shannon","johnson","johnson","libertarian","libertarian","votes",106
